Name,Rating,Rating count,Link,Country,Genre,Director,Year,Time (min)
Вокзал для двоих,7.2,33276,https://www.kinopoisk.ru/film/45822/,СССР ,драма, Эльдар Рязанов,1982,141
Мементо,7.2,56020,https://www.kinopoisk.ru/film/335/,США ,триллер, Кристофер Нолан,2000,113
Летят журавли,7.2,19566,https://www.kinopoisk.ru/film/7724/,СССР ,военный, Михаил Калатозов,1957,95
Джуманджи,7.2,32577,https://www.kinopoisk.ru/film/8161/,США ,фэнтези, Джо Джонстон,1995,104
Пираты Карибского моря: На краю света,7.2,51086,https://www.kinopoisk.ru/film/102124/,США ,приключения, Гор Вербински,2007,169
Не может быть!,7.2,32889,https://www.kinopoisk.ru/film/46368/,СССР ,мелодрама, Леонид Гайдай,1975,92
Гарри Поттер и Орден Феникса,7.2,43614,https://www.kinopoisk.ru/film/48356/,Великобритания ,фэнтези, Дэвид Йейтс,2007,138
Хоббит: Пустошь Смауга,7.2,31603,https://www.kinopoisk.ru/film/408876/,Новая Зеландия ,фэнтези, Питер Джексон,2013,161
Запах женщины,7.2,17448,https://www.kinopoisk.ru/film/4871/,США ,драма, Мартин Брест,1992,156
Терминатор,7.2,33760,https://www.kinopoisk.ru/film/507/,США ,фантастика, Джеймс Кэмерон,1984,108
Покровские ворота,7.2,30196,https://www.kinopoisk.ru/film/77203/,СССР ,мюзикл, Михаил Козаков,1982,140
Землетрясение,7.2,49673,https://www.kinopoisk.ru/film/463694/,Китай ,драма, Фэн Сяоган,2010,139
Убойные каникулы,7.2,65845,https://www.kinopoisk.ru/film/485261/,Канада ,комедия, Илай Крэйг,2010,85
Жестокий романс,7.2,29610,https://www.kinopoisk.ru/film/45314/,СССР ,драма, Эльдар Рязанов,1984,137
Один день,7.2,40447,https://www.kinopoisk.ru/film/495518/,США ,драма, Лоне Шерфиг,2011,103
Убить Билла 2,7.2,15611,https://www.kinopoisk.ru/film/47015/,США ,боевик, Квентин Тарантино,2004,137
Нефть,7.2,15509,https://www.kinopoisk.ru/film/196604/,США ,драма, Пол Томас Андерсон,2007,158
Один дома 2: Затерянный в Нью-Йорке,7.2,66118,https://www.kinopoisk.ru/film/5928/,США ,комедия, Крис Коламбус,1992,119
Выстрел в пустоту,7.2,91214,https://www.kinopoisk.ru/film/910353/,США ,криминал, Рик Роман Во,2015,120
Гран Торино,7.2,11431,https://www.kinopoisk.ru/film/408410/,США ,драма, Клинт Иствуд,2008,116
Ветер крепчает,7.2,16506,https://www.kinopoisk.ru/film/693969/,Япония ,аниме, Хаяо Миядзаки,2013,126
Последний самурай,7.2,15959,https://www.kinopoisk.ru/film/6764/,США ,боевик, Эдвард Цвик,2003,154
Шестое чувство,7.2,19127,https://www.kinopoisk.ru/film/395/,США ,детектив, М. Найт Шьямалан,1999,107
Чего хотят женщины,7.2,100600,https://www.kinopoisk.ru/film/880/,США ,мелодрама, Нэнси Майерс,2000,127
Константин: Повелитель тьмы,7.2,50302,https://www.kinopoisk.ru/film/3793/,США ,фэнтези, Фрэнсис Лоуренс,2005,121
Чарли и шоколадная фабрика,7.2,74756,https://www.kinopoisk.ru/film/38905/,США ,мюзикл, Тим Бёртон,2005,115
Храброе сердце,7.2,24359,https://www.kinopoisk.ru/film/399/,США ,история, Мэл Гибсон,1995,178
Семь жизней,7.2,21321,https://www.kinopoisk.ru/film/395787/,США ,драма, Габриэле Муччино,2008,118
Навсикая из долины ветров,7.2,13886,https://www.kinopoisk.ru/film/8240/,Япония ,аниме, Хаяо Миядзаки,1984,117
Корпорация монстров,7.2,54995,https://www.kinopoisk.ru/film/458/,США ,мультфильм, Пит Доктер,2001,92
Воин,7.1,30881,https://www.kinopoisk.ru/film/442568/,США ,драма, Гэвин О’Коннор,2011,140
Ford против Ferrari,7.1,39900,https://www.kinopoisk.ru/film/835086/,США ,биография, Джеймс Мэнголд,2019,152
Схватка,7.1,10967,https://www.kinopoisk.ru/film/571/,США ,боевик, Майкл Манн,1995,171
Человек с бульвара Капуцинов,7.1,26534,https://www.kinopoisk.ru/film/45463/,СССР ,вестерн, Алла Сурикова,1987,98
Творение Господне,7.1,29371,https://www.kinopoisk.ru/film/233084/,США ,драма, Джозеф Сарджент,2004,110
Работа без авторства,7.1,35376,https://www.kinopoisk.ru/film/959606/,Германия ,биография, Флориан Хенкель фон Доннерсмарк,2018,189
"Ирония судьбы, или С легким паром!",7.1,75785,https://www.kinopoisk.ru/film/77331/,СССР ,мелодрама, Эльдар Рязанов,1975,184
Маска,7.1,69618,https://www.kinopoisk.ru/film/6039/,США ,комедия, Чак Рассел,1994,101
Великий Гэтсби,7.1,29482,https://www.kinopoisk.ru/film/463724/,Австралия ,драма, Баз Лурман,2013,143
Крупная рыба,7.1,17046,https://www.kinopoisk.ru/film/9617/,США ,фэнтези, Тим Бёртон,2003,125
Невидимая сторона,7.1,28632,https://www.kinopoisk.ru/film/450213/,США ,драма, Джон Ли Хэнкок,2009,129
Другие,7.1,29045,https://www.kinopoisk.ru/film/494/,Испания ,ужасы, Алехандро Аменабар,2001,101
На игле,7.1,13982,https://www.kinopoisk.ru/film/515/,Великобритания ,драма, Дэнни Бойл,1995,93
Зверополис,7.1,105413,https://www.kinopoisk.ru/film/775276/,США ,мультфильм, Байрон Ховард,2016,108
Мадагаскар,7.1,89493,https://www.kinopoisk.ru/film/6006/,США ,мультфильм, Эрик Дарнелл,2005,86
Васаби,7.1,88540,https://www.kinopoisk.ru/film/14288/,Франция ,боевик, Жерар Кравчик,2001,94
Экипаж,7.1,96782,https://www.kinopoisk.ru/film/839818/,Россия ,драма, Николай Лебедев,2016,138
Бесподобный мистер Фокс,7.1,10439,https://www.kinopoisk.ru/film/86621/,США ,мультфильм, Уэс Андерсон,2009,87
Господин Никто,7.1,39449,https://www.kinopoisk.ru/film/232785/,Бельгия ,фантастика, Жако ван Дормель,2009,138
Богемская рапсодия,7.1,27637,https://www.kinopoisk.ru/film/568289/,Великобритания ,биография, Брайан Сингер,2018,134
Крепкий орешек,7.1,22010,https://www.kinopoisk.ru/film/471/,США ,боевик, Джон Мактирнан,1988,133
Спеши любить,7.1,40284,https://www.kinopoisk.ru/film/875/,США ,драма, Адам Шенкман,2002,101
Рэмбо: Первая кровь,7.1,39289,https://www.kinopoisk.ru/film/4087/,США ,боевик, Тед Котчефф,1982,93
Чужие,7.1,18808,https://www.kinopoisk.ru/film/406/,Великобритания ,ужасы, Джеймс Кэмерон,1986,137
Служанка,7.1,52042,https://www.kinopoisk.ru/film/851960/,Корея Южная ,мелодрама, Пак Чхан-ук,2016,144
В джазе только девушки,7.1,24073,https://www.kinopoisk.ru/film/356/,США ,мелодрама, Билли Уайлдер,1959,119
Вспомнить всё,7.1,54391,https://www.kinopoisk.ru/film/2443/,США ,фантастика, Пол Верховен,1990,113
Что гложет Гилберта Грейпа,7.1,31447,https://www.kinopoisk.ru/film/4466/,США ,драма, Лассе Халльстрём,1993,118
Грязь,7.1,55356,https://www.kinopoisk.ru/film/467293/,Великобритания ,криминал, Джон С. Бейрд,2013,93
Облачный атлас,7.1,58244,https://www.kinopoisk.ru/film/464484/,США ,фантастика, Лана Вачовски,2012,172
Большой Лебовски,7.1,19557,https://www.kinopoisk.ru/film/555/,США ,комедия, Джоэл Коэн,1998,117
Иллюзия обмана,7.1,108451,https://www.kinopoisk.ru/film/522892/,США ,криминал, Луи Летерье,2013,115
Прибытие,7.1,68483,https://www.kinopoisk.ru/film/718811/,США ,фантастика, Дени Вильнёв,2016,116
Ведьмина служба доставки,7.1,24511,https://www.kinopoisk.ru/film/2428/,Япония ,аниме, Хаяо Миядзаки,1989,103
Святые из Бундока,7.1,31482,https://www.kinopoisk.ru/film/4917/,США ,боевик, Трой Даффи,1999,109
Красотка,7.1,52600,https://www.kinopoisk.ru/film/8125/,США ,мелодрама, Гэрри Маршалл,1990,115
"Свой среди чужих, чужой среди своих",7.1,26234,https://www.kinopoisk.ru/film/44062/,СССР ,боевик, Никита Михалков,1974,93
Исходный код,7.1,61052,https://www.kinopoisk.ru/film/409295/,США ,фантастика, Дункан Джонс,2011,93
Психо,7.1,7212,https://www.kinopoisk.ru/film/344/,США ,триллер, Альфред Хичкок,1960,109
Игра в имитацию,7.1,43080,https://www.kinopoisk.ru/film/635772/,Великобритания ,биография, Мортен Тильдум,2014,114
Покорители волн,7.1,31004,https://www.kinopoisk.ru/film/546244/,США ,драма, Майкл Аптед,2012,111
Я – легенда,7.1,49932,https://www.kinopoisk.ru/film/195524/,США ,ужасы, Фрэнсис Лоуренс,2007,96
Кунг-фу Панда,7.1,43345,https://www.kinopoisk.ru/film/103734/,США ,мультфильм, Марк Осборн,2008,91
"Добро пожаловать, или Посторонним вход воспрещен",7.1,33009,https://www.kinopoisk.ru/film/44238/,СССР ,комедия, Элем Климов,1964,71
Такси 2,7.1,73660,https://www.kinopoisk.ru/film/854/,Франция ,боевик, Жерар Кравчик,2000,88
Назад в будущее 3,7.1,20908,https://www.kinopoisk.ru/film/7103/,США ,фантастика, Роберт Земекис,1990,118
Умница Уилл Хантинг,7.1,14178,https://www.kinopoisk.ru/film/539/,США ,драма, Гас Ван Сент,1997,126
Сияние,7.1,23510,https://www.kinopoisk.ru/film/409/,США ,триллер, Стэнли Кубрик,1980,144
Дьявол носит Prada,7.1,55616,https://www.kinopoisk.ru/film/104992/,США ,драма, Дэвид Фрэнкел,2006,109
Оставленные,7.1,34058,https://www.kinopoisk.ru/film/4499386/,США ,драма, Александр Пэйн,2023,133
Невероятные приключения итальянцев в России,7.1,38051,https://www.kinopoisk.ru/film/46421/,СССР ,комедия, Эльдар Рязанов,1973,104
Коралина в Стране Кошмаров,7.1,34681,https://www.kinopoisk.ru/film/49166/,США ,мультфильм, Генри Селик,2008,100
Мальчишник в Вегасе,7.1,24663,https://www.kinopoisk.ru/film/426004/,США ,комедия, Тодд Филлипс,2009,96
Сестрёнка,7.1,53239,https://www.kinopoisk.ru/film/1178267/,Россия ,драма, Александр Галибин,2019,94
Город грехов,7.1,17497,https://www.kinopoisk.ru/film/77443/,США ,боевик, Фрэнк Миллер,2005,124
Выживший,7.1,28041,https://www.kinopoisk.ru/film/522941/,Гонконг ,приключения, Алехандро Гонсалес Иньярриту,2015,156
Ветреная река,7.1,50414,https://www.kinopoisk.ru/film/958442/,Великобритания ,детектив, Тейлор Шеридан,2016,107
Профессионал,7.1,24784,https://www.kinopoisk.ru/film/39259/,Франция ,боевик, Жорж Лотнер,1981,108
Залечь на дно в Брюгге,7.1,17788,https://www.kinopoisk.ru/film/276295/,Великобритания ,комедия, Мартин Макдона,2007,107
Небесный замок Лапута,7.1,14344,https://www.kinopoisk.ru/film/1846/,Япония ,аниме, Хаяо Миядзаки,1986,125
Патруль,7.1,58590,https://www.kinopoisk.ru/film/584405/,США ,драма, Дэвид Эйр,2012,109
Марсианин,7.1,35864,https://www.kinopoisk.ru/film/841700/,США ,фантастика, Ридли Скотт,2015,144
Апгрейд,7.1,71839,https://www.kinopoisk.ru/film/1009784/,Австралия ,фантастика, Ли Уоннелл,2018,100
"С любовью, Рози",7.1,49352,https://www.kinopoisk.ru/film/512784/,Великобритания ,мелодрама, Кристиан Диттер,2014,102
В центре внимания,7.1,34071,https://www.kinopoisk.ru/film/834394/,США ,драма, Том Маккарти,2015,129
Столкновение,7.1,99346,https://www.kinopoisk.ru/film/61297/,США ,триллер, Пол Хаггис,2004,112
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,7.1,15803,https://www.kinopoisk.ru/film/368937/,СССР ,криминал, Игорь Масленников,1980,65
На гребне волны,7.1,34291,https://www.kinopoisk.ru/film/1990/,Япония ,боевик, Кэтрин Бигелоу,1991,117
Сад изящных слов,7.1,36535,https://www.kinopoisk.ru/film/730665/,Япония ,аниме, Макото Синкай,2013,46
Бэтмен: Начало,7.1,22392,https://www.kinopoisk.ru/film/47237/,США ,боевик, Кристофер Нолан,2005,140
Пальмы в снегу,7.1,36629,https://www.kinopoisk.ru/film/801868/,Испания ,драма, Фернандо Гонзалез Молина,2015,163
Малхолланд Драйв,7.1,21011,https://www.kinopoisk.ru/film/466/,США ,триллер, Дэвид Линч,2001,147
"Весна, лето, осень, зима... и снова весна",7.1,16769,https://www.kinopoisk.ru/film/47814/,Корея Южная ,драма, Ким Ки Дук,2003,103
Дом из песка и тумана,7.1,53249,https://www.kinopoisk.ru/film/7611/,США ,драма, Вадим Перельман,2003,126
Оружейный барон,7.1,97188,https://www.kinopoisk.ru/film/77439/,США ,драма, Эндрю Никкол,2005,122
Бегущий по лезвию,7.1,15156,https://www.kinopoisk.ru/film/403/,США ,фантастика, Ридли Скотт,1982,117
Уроки фарси,7.1,112660,https://www.kinopoisk.ru/film/1209777/,Россия ,драма, Вадим Перельман,2020,128
Блеф,7.1,32807,https://www.kinopoisk.ru/film/10179/,Италия ,комедия, Серджио Корбуччи,1976,110
Вечера на хуторе близ Диканьки,7.1,49767,https://www.kinopoisk.ru/film/45694/,СССР ,фэнтези, Александр Роу,1961,66
Пиджак,7.1,74191,https://www.kinopoisk.ru/film/47382/,США ,триллер, Джон Мэйбери,2004,102
Огонь,7.1,88841,https://www.kinopoisk.ru/film/1183599/,Россия ,драма, Алексей Нужный,2020,131
Индиана Джонс и последний крестовый поход,7.1,11952,https://www.kinopoisk.ru/film/472/,США ,приключения, Стивен Спилберг,1989,127
Разрисованная вуаль,7.1,35608,https://www.kinopoisk.ru/film/102201/,США ,драма, Джон Кёрран,2006,125
Поезд на Юму,7.1,37226,https://www.kinopoisk.ru/film/78240/,США ,вестерн, Джеймс Мэнголд,2007,122
Кролик Джоджо,7.1,16959,https://www.kinopoisk.ru/film/726838/,Новая Зеландия ,комедия, Тайка Вайтити,2019,108
Приходи на меня посмотреть,7.1,24709,https://www.kinopoisk.ru/film/40955/,Россия ,мелодрама, Михаил Агранович,2000,101
Доспехи Бога,7.1,45216,https://www.kinopoisk.ru/film/24705/,Гонконг ,боевик, Джеки Чан,1986,88
Стажёр,7.1,35463,https://www.kinopoisk.ru/film/677893/,США ,мелодрама, Нэнси Майерс,2015,121
Самый быстрый Indian,7.1,10809,https://www.kinopoisk.ru/film/81512/,Новая Зеландия ,драма, Роджер Дональдсон,2005,127
Вверх,7.1,34569,https://www.kinopoisk.ru/film/325381/,США ,мультфильм, Пит Доктер,2009,96
Мост в Терабитию,7.1,17142,https://www.kinopoisk.ru/film/78753/,США ,фэнтези, Габор Чупо,2006,93
Осенний марафон,7.1,19537,https://www.kinopoisk.ru/film/42799/,СССР ,драма, Георгий Данелия,1979,89
Труп невесты,7.1,20321,https://www.kinopoisk.ru/film/77548/,США ,мультфильм, Тим Бёртон,2005,77
Королевство полной луны,7.1,25518,https://www.kinopoisk.ru/film/571892/,США ,семейный, Уэс Андерсон,2012,90
Берегись автомобиля,7.1,32445,https://www.kinopoisk.ru/film/46089/,СССР ,криминал, Эльдар Рязанов,1966,94
Отец,7.1,37408,https://www.kinopoisk.ru/film/1262160/,Великобритания ,драма, Флориан Зеллер,2020,97
Битва за Севастополь,7.1,41893,https://www.kinopoisk.ru/film/742026/,Россия ,военный, Сергей Мокрицкий,2015,118
Дикие истории,7.1,29822,https://www.kinopoisk.ru/film/775727/,Аргентина ,триллер, Дамиан Сифрон,2014,122
Легенда о пианисте,7.1,14746,https://www.kinopoisk.ru/film/8335/,Италия ,драма, Джузеппе Торнаторе,1998,120
Логан,7.1,17484,https://www.kinopoisk.ru/film/807682/,США ,фантастика, Джеймс Мэнголд,2017,137
Шерлок Холмс,7.1,32138,https://www.kinopoisk.ru/film/420923/,США ,боевик, Гай Ричи,2009,128
Идеальные дни,7.1,99661,https://www.kinopoisk.ru/film/5283168/,Япония ,драма, Вим Вендерс,2023,124
Она,7.1,36538,https://www.kinopoisk.ru/film/577488/,США ,мелодрама, Спайк Джонс,2013,126
Доспехи Бога 2: Операция Кондор,7.1,31577,https://www.kinopoisk.ru/film/24701/,Гонконг ,боевик, Джеки Чан,1991,98
Гаттака,7.1,10732,https://www.kinopoisk.ru/film/5012/,США ,фантастика, Эндрю Никкол,1997,106
Робокоп,7.1,12315,https://www.kinopoisk.ru/film/7410/,США ,фантастика, Пол Верховен,1987,102
Хранители снов,7.1,49416,https://www.kinopoisk.ru/film/466581/,США ,мультфильм, Питер Рэмзи,2012,97
Это чертово сердце,7.1,24527,https://www.kinopoisk.ru/film/1024435/,Германия ,драма, Марк Ротемунд,2017,104
Бёрдмэн,7.1,9880,https://www.kinopoisk.ru/film/722827/,США ,драма, Алехандро Гонсалес Иньярриту,2014,119
Душа,7.1,52702,https://www.kinopoisk.ru/film/775273/,США ,мультфильм, Пит Доктер,2020,106
Одиннадцать друзей Оушена,7.1,20586,https://www.kinopoisk.ru/film/770/,США ,криминал, Стивен Содерберг,2001,116
Я видел дьявола,7.1,33452,https://www.kinopoisk.ru/film/497027/,Корея Южная ,триллер, Ким Джи-ун,2010,144
Переводчик,7.0,461146,https://www.kinopoisk.ru/film/927898/,Великобритания ,боевик, Гай Ричи,2022,123
Мавританец,7.0,76653,https://www.kinopoisk.ru/film/1289785/,Великобритания ,биография, Кевин Макдональд,2020,129
Монстры на каникулах,7.0,139076,https://www.kinopoisk.ru/film/280174/,США ,мультфильм, Генндий Тартаковский,2012,91
Звездный десант,7.0,14598,https://www.kinopoisk.ru/film/6025/,США ,фантастика, Пол Верховен,1997,124
Остров собак,7.0,7691,https://www.kinopoisk.ru/film/939785/,США ,мультфильм, Уэс Андерсон,2018,101
Бедные-несчастные,7.0,86849,https://www.kinopoisk.ru/film/4396438/,Ирландия ,драма, Йоргос Лантимос,2023,141
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,7.0,12824,https://www.kinopoisk.ru/film/338/,США ,фантастика, Ирвин Кершнер,1980,124
Пока не сыграл в ящик,7.0,15856,https://www.kinopoisk.ru/film/258885/,США ,драма, Роб Райнер,2007,97
Доктор,7.0,98300,https://www.kinopoisk.ru/film/5002368/,Россия ,драма, Артём Темников,2022,120
Однажды в… Голливуде,7.0,73010,https://www.kinopoisk.ru/film/1047883/,США ,драма, Квентин Тарантино,2019,161
Эквилибриум,7.0,26249,https://www.kinopoisk.ru/film/309/,США ,фантастика, Курт Уиммер,2002,107
Чёрный лебедь,7.0,18161,https://www.kinopoisk.ru/film/278273/,США ,драма, Даррен Аронофски,2010,103
В поисках Немо,7.0,37269,https://www.kinopoisk.ru/film/7908/,США ,мультфильм, Эндрю Стэнтон,2003,101
От заката до рассвета,7.0,30806,https://www.kinopoisk.ru/film/4815/,США ,криминал, Роберт Родригес,1995,108
Голгофа,7.0,19991,https://www.kinopoisk.ru/film/666951/,Ирландия ,драма, Джон Майкл Макдона,2013,102
Мгла,7.0,20592,https://www.kinopoisk.ru/film/273302/,США ,ужасы, Фрэнк Дарабонт,2007,126
Линкольн для адвоката,7.0,17934,https://www.kinopoisk.ru/film/461939/,США ,криминал, Брэд Фурман,2011,114
Миллионер из трущоб,7.0,18874,https://www.kinopoisk.ru/film/413362/,Великобритания ,криминал, Дэнни Бойл,2008,120
Не/смотря ни на что,7.0,38774,https://www.kinopoisk.ru/film/887535/,Германия ,комедия, Марк Ротемунд,2017,111
Сонная Лощина,7.0,25032,https://www.kinopoisk.ru/film/5622/,США ,триллер, Тим Бёртон,1999,105
Индиана Джонс: В поисках утраченного ковчега,7.0,12668,https://www.kinopoisk.ru/film/339/,США ,приключения, Стивен Спилберг,1981,115
Тренировочный день,7.0,9506,https://www.kinopoisk.ru/film/863/,США ,триллер, Антуан Фукуа,2001,122
12,7.0,18507,https://www.kinopoisk.ru/film/222809/,Россия ,триллер, Никита Михалков,2007,153
Хищник,7.0,21275,https://www.kinopoisk.ru/film/6303/,США ,ужасы, Джон Мактирнан,1987,104
Ангел-А,7.0,30986,https://www.kinopoisk.ru/film/160929/,Франция ,фэнтези, Люк Бессон,2005,91
Парк Юрского периода,7.0,21143,https://www.kinopoisk.ru/film/7121/,США ,фантастика, Стивен Спилберг,1993,127
Мастер и Маргарита,7.0,235564,https://www.kinopoisk.ru/film/1115471/,Россия ,драма, Михаил Локшин,2023,157
Интервью с вампиром,7.0,14886,https://www.kinopoisk.ru/film/8151/,США ,драма, Нил Джордан,1994,123
RRR: Рядом ревёт революция,7.0,24760,https://www.kinopoisk.ru/film/1115117/,Индия ,боевик, С.С. Раджамули,2022,187
Район №9,7.0,15521,https://www.kinopoisk.ru/film/397494/,ЮАР ,фантастика, Нил Бломкамп,2009,112
Спортлото-82,7.0,41272,https://www.kinopoisk.ru/film/43949/,СССР ,комедия, Леонид Гайдай,1982,89
Доктор Лиза,7.0,26943,https://www.kinopoisk.ru/film/1254059/,Россия ,драма, Оксана Карас,2020,120
Безумно влюблённый,7.0,21932,https://www.kinopoisk.ru/film/147969/,Италия ,мелодрама, Франко Кастеллано,1981,102
Темные воды,7.0,47123,https://www.kinopoisk.ru/film/1228069/,США ,драма, Тодд Хейнс,2019,126
Дело Коллини,7.0,35909,https://www.kinopoisk.ru/film/1179501/,Германия ,детектив, Марко Кройцпайнтнер,2019,123
Элементарно,7.0,74093,https://www.kinopoisk.ru/film/4889667/,США ,мультфильм, Питер Сон,2023,101
Фарго,7.0,9106,https://www.kinopoisk.ru/film/402/,США ,триллер, Джоэл Коэн,1995,98
Звёздные войны: Эпизод 6 – Возвращение Джедая,7.0,12874,https://www.kinopoisk.ru/film/447/,США ,фантастика, Ричард Маркуанд,1983,131
Скрытые фигуры,7.0,16675,https://www.kinopoisk.ru/film/966036/,США ,драма, Тед Мелфи,2016,127
Трансформеры,7.0,43260,https://www.kinopoisk.ru/film/81288/,США ,фантастика, Майкл Бэй,2007,143
Великая красота,7.0,14125,https://www.kinopoisk.ru/film/677566/,Италия ,драма, Паоло Соррентино,2013,141
Евротур,7.0,17228,https://www.kinopoisk.ru/film/5090/,США ,комедия, Джефф Шаффер,2004,90
Идеальные незнакомцы,7.0,18381,https://www.kinopoisk.ru/film/925669/,Италия ,драма, Паоло Дженовезе,2015,96
Ледниковый период,7.0,37020,https://www.kinopoisk.ru/film/707/,США ,мультфильм, Крис Уэдж,2002,81
Основной инстинкт,7.0,51827,https://www.kinopoisk.ru/film/2441/,США ,триллер, Пол Верховен,1992,127
Полосатый рейс,7.0,42633,https://www.kinopoisk.ru/film/43104/,СССР ,комедия, Владимир Фетин,1961,87
Бойфренд из будущего,7.0,10673,https://www.kinopoisk.ru/film/662596/,Великобритания ,фантастика, Ричард Кёртис,2013,123
Расправь крылья,7.0,21721,https://www.kinopoisk.ru/film/1256482/,Франция ,драма, Николя Ванье,2019,113
Дюна,7.0,86169,https://www.kinopoisk.ru/film/409424/,США ,фантастика, Дени Вильнёв,2021,155
500 дней лета,7.0,14612,https://www.kinopoisk.ru/film/409372/,США ,мелодрама, Марк Уэбб,2009,95
Стражи Галактики. Часть 2,7.0,28003,https://www.kinopoisk.ru/film/841263/,США ,фантастика, Джеймс Ганн,2017,136
Типа крутые легавые,7.0,32727,https://www.kinopoisk.ru/film/93377/,Великобритания ,боевик, Эдгар Райт,2007,121
Однажды в Ирландии,7.0,14027,https://www.kinopoisk.ru/film/484474/,Великобритания ,триллер, Джон Майкл Макдона,2011,96
Девять ярдов,7.0,31854,https://www.kinopoisk.ru/film/883/,США ,комедия, Джонатан Линн,2000,98
Девушка с татуировкой дракона,7.0,21151,https://www.kinopoisk.ru/film/491724/,США ,детектив, Дэвид Финчер,2011,158
Ненависть,7.0,12347,https://www.kinopoisk.ru/film/9448/,Франция ,драма, Матьё Кассовиц,1995,98
Парфюмер: История одного убийцы,7.0,24996,https://www.kinopoisk.ru/film/78378/,Германия ,фэнтези, Том Тыквер,2006,147
Донни Дарко,7.0,35372,https://www.kinopoisk.ru/film/410/,США ,фантастика, Ричард Келли,2001,113
Дыши ради нас,7.0,18165,https://www.kinopoisk.ru/film/980347/,Великобритания ,драма, Энди Серкис,2017,118
Сёстры,7.0,51042,https://www.kinopoisk.ru/film/41109/,Россия ,драма, Сергей Бодров мл.,2001,83
Поехавшая,7.0,120654,https://www.kinopoisk.ru/film/4686066/,Россия ,комедия, Антон Маслов,2023,110
Рыбка Поньо на утесе,7.0,23757,https://www.kinopoisk.ru/film/261127/,Япония ,аниме, Хаяо Миядзаки,2008,101
Карнавальная ночь,7.0,37542,https://www.kinopoisk.ru/film/44720/,СССР ,комедия, Эльдар Рязанов,1956,78
День радио,7.0,27215,https://www.kinopoisk.ru/film/402979/,Россия ,комедия, Дмитрий Дьяченко,2008,98
Рок-волна,7.0,10872,https://www.kinopoisk.ru/film/416824/,Великобритания ,драма, Ричард Кёртис,2009,129
Подмена,7.0,12078,https://www.kinopoisk.ru/film/279880/,США ,триллер, Клинт Иствуд,2008,141
Помнить,7.0,13514,https://www.kinopoisk.ru/film/868982/,Канада ,триллер, Атом Эгоян,2015,94
Боец,7.0,34488,https://www.kinopoisk.ru/film/279580/,США ,драма, Дэвид О. Расселл,2010,114
300 спартанцев,7.0,19131,https://www.kinopoisk.ru/film/81924/,США ,боевик, Зак Снайдер,2007,117
Охотники за разумом,7.0,37776,https://www.kinopoisk.ru/film/8091/,США ,ужасы, Ренни Харлин,2004,106
Ворон,7.0,12910,https://www.kinopoisk.ru/film/12362/,США ,фэнтези, Алекс Пройас,1994,102
Охотники за привидениями,7.0,15467,https://www.kinopoisk.ru/film/2467/,США ,фантастика, Айвен Райтман,1984,105
Рок-н-рольщик,7.0,14423,https://www.kinopoisk.ru/film/378140/,Великобритания ,криминал, Гай Ричи,2008,114
Капитан Филлипс,7.0,31468,https://www.kinopoisk.ru/film/484438/,США ,триллер, Пол Гринграсс,2013,134
Форсаж 5,7.0,54699,https://www.kinopoisk.ru/film/496943/,США ,боевик, Джастин Лин,2011,130
Всегда говори «ДА»,7.0,17223,https://www.kinopoisk.ru/film/391772/,США ,комедия, Пейтон Рид,2008,104
Босиком по мостовой,7.0,26609,https://www.kinopoisk.ru/film/81584/,Германия ,драма, Тиль Швайгер,2005,110
Казино Рояль,7.0,11740,https://www.kinopoisk.ru/film/49844/,США ,боевик, Мартин Кэмпбелл,2006,139
Вызов,7.0,317272,https://www.kinopoisk.ru/film/4448519/,Россия ,драма, Клим Шипенко,2023,164
Общество снега,7.0,23102,https://www.kinopoisk.ru/film/4745702/,Испания ,триллер, Хуан Антонио Байона,2023,144
Кошмар перед Рождеством,7.0,13511,https://www.kinopoisk.ru/film/8222/,США ,мультфильм, Генри Селик,1993,76
Капитан Фантастик,7.0,15377,https://www.kinopoisk.ru/film/841147/,США ,драма, Мэтт Росс,2016,118
Весна на Заречной улице,7.0,36490,https://www.kinopoisk.ru/film/45748/,СССР ,драма, Марлен Хуциев,1956,90
Охотники за головами,7.0,23882,https://www.kinopoisk.ru/film/526812/,Норвегия ,боевик, Мортен Тильдум,2011,100
Повезло с братом,7.0,15610,https://www.kinopoisk.ru/film/1009254/,Корея Южная ,драма, Чхве Сон-хён,2018,120
Дэдпул,7.0,38690,https://www.kinopoisk.ru/film/462360/,США ,боевик, Тим Миллер,2016,108
Социальная сеть,7.0,27128,https://www.kinopoisk.ru/film/427198/,США ,драма, Дэвид Финчер,2010,120
Я шагаю по Москве,7.0,16647,https://www.kinopoisk.ru/film/42398/,СССР ,мелодрама, Георгий Данелия,1963,78
12 обезьян,7.0,10323,https://www.kinopoisk.ru/film/502/,США ,фантастика, Терри Гиллиам,1995,129
Звёздные войны: Эпизод 4 – Новая надежда,7.0,15021,https://www.kinopoisk.ru/film/333/,США ,фантастика, Джордж Лукас,1977,121
Меч короля,7.0,86832,https://www.kinopoisk.ru/film/4991138/,Дания ,драма, Николай Арсель,2023,127
Полночь в Париже,7.0,18364,https://www.kinopoisk.ru/film/504465/,США ,фэнтези, Вуди Аллен,2011,94
