Name,Rating,Rating count,Link,Country,Genre,Director,Year,Time (min)
Бесславные ублюдки,7.5,52060,https://www.kinopoisk.ru/film/9691/,Германия ,боевик, Квентин Тарантино,2009,153
Вторая жизнь Уве,7.5,131183,https://www.kinopoisk.ru/film/848894/,Швеция ,драма, Ханнес Холм,2015,116
Шерлок Холмс и доктор Ватсон: Знакомство,7.5,53831,https://www.kinopoisk.ru/film/77269/,СССР ,криминал, Игорь Масленников,1979,68
Одна жизнь,7.5,111116,https://www.kinopoisk.ru/film/5105855/,Великобритания ,драма, Джеймс Хоуз,2023,109
Бриллиантовая рука,7.5,129317,https://www.kinopoisk.ru/film/46225/,СССР ,комедия, Леонид Гайдай,1968,94
Законопослушный гражданин,7.5,174309,https://www.kinopoisk.ru/film/406408/,США ,боевик, Ф. Гэри Грей,2009,108
Семь,7.5,41273,https://www.kinopoisk.ru/film/377/,США ,триллер, Дэвид Финчер,1995,127
Дело храбрых,7.5,102067,https://www.kinopoisk.ru/film/965754/,США ,драма, Джозеф Косински,2017,134
Мой Хатико,7.5,103009,https://www.kinopoisk.ru/film/4395219/,Китай ,драма, Сюй Ан,2023,125
Пианист,7.5,42731,https://www.kinopoisk.ru/film/355/,Франция ,драма, Роман Полански,2002,149
Пеле: Рождение легенды,7.5,136666,https://www.kinopoisk.ru/film/803422/,США ,биография, Джефф Цимбалист,2015,107
В августе 44-го,7.5,86166,https://www.kinopoisk.ru/film/41381/,Россия ,боевик, Михаил Пташук,2001,118
Пятый элемент,7.5,84008,https://www.kinopoisk.ru/film/2656/,Франция ,фантастика, Люк Бессон,1997,126
"Кавказская пленница, или Новые приключения Шурика",7.5,127668,https://www.kinopoisk.ru/film/44745/,СССР ,комедия, Леонид Гайдай,1966,82
Лев,7.5,87308,https://www.kinopoisk.ru/film/864138/,Австралия ,драма, Гарт Дэвис,2016,118
Белая птица: Новое чудо,7.5,152757,https://www.kinopoisk.ru/film/4384109/,США ,драма, Марк Форстер,2023,120
Люди в чёрном,7.5,109823,https://www.kinopoisk.ru/film/1091/,США ,фантастика, Барри Зонненфельд,1997,98
Шоу Трумана,7.5,53216,https://www.kinopoisk.ru/film/4541/,США ,драма, Питер Уир,1998,103
Иди и смотри,7.5,44257,https://www.kinopoisk.ru/film/42571/,СССР ,драма, Элем Климов,1985,136
Человек-паук: Паутина вселенных,7.5,89343,https://www.kinopoisk.ru/film/1219177/,США ,мультфильм, Жуакин Душ Сантуш,2023,140
Крик тишины,7.5,116016,https://www.kinopoisk.ru/film/1228407/,Россия ,драма, Владимир Потапов,2019,97
Омерзительная восьмерка,7.5,33972,https://www.kinopoisk.ru/film/819101/,США ,вестерн, Квентин Тарантино,2015,168
Счастливое число Слевина,7.5,91005,https://www.kinopoisk.ru/film/86326/,США ,триллер, Пол Макгиган,2005,110
Лекарь: Ученик Авиценны,7.5,147031,https://www.kinopoisk.ru/film/645276/,Германия ,приключения, Филипп Штёльцль,2013,155
Гарри Поттер и Дары Смерти: Часть II,7.5,46266,https://www.kinopoisk.ru/film/407636/,Великобритания ,фэнтези, Дэвид Йейтс,2011,130
Принцесса Мононоке,7.4,27408,https://www.kinopoisk.ru/film/441/,Япония ,аниме, Хаяо Миядзаки,1997,134
Лучшее предложение,7.4,146101,https://www.kinopoisk.ru/film/681849/,Италия ,триллер, Джузеппе Торнаторе,2012,131
Игры разума,7.4,28178,https://www.kinopoisk.ru/film/530/,США ,биография, Рон Ховард,2001,135
"Артур, ты король",7.4,317385,https://www.kinopoisk.ru/film/1402937/,США ,драма, Саймон Селлан Джонс,2024,107
Один дома,7.4,166758,https://www.kinopoisk.ru/film/8124/,США ,комедия, Крис Коламбус,1990,103
Гарри Поттер и Тайная комната,7.4,63442,https://www.kinopoisk.ru/film/688/,Великобритания ,фэнтези, Крис Коламбус,2002,161
